Contrast,Method,Lipid_Class,Sig.Level,Tentative_Lipid_ID,logFC,t,P.Value,adj.P.Val,B,Sig.Level,MetaboAnalysisDate,ExclusionVersion,AveExpr
MIX,3,CE,NA,CE(15:1),NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,3,DG,<0.1,DG(32:0)_C16:0,0.38377,2.3011,0.023,0.072,-3.532,<0.1,12524,E2,-7.50E-17
MIX,3,DG,<0.05,DG(32:1)_C16:0,0.45729,3.1832,0.002,0.036,-1.3808,<0.05,12524,E2,3.20E-17
MIX,3,DG,<0.05,DG(32:1)_C16:1,0.40465,2.8568,0.005,0.036,-2.2479,<0.05,12524,E2,5.17E-18
MIX,3,DG,<0.05,DG(32:2)_C16:1,0.39405,2.5915,0.011,0.046,-2.892,<0.05,12524,E2,-2.51E-17
MIX,3,DG,<0.05,"DG(33:1),DG(O-34:1)_C16:1",0.52901,2.6625,0.009,0.046,-2.725,<0.05,12524,E2,7.55E-17
MIX,3,DG,<0.05,DG(33:2)_C16:1,0.53372,2.5792,0.011,0.046,-2.9206,<0.05,12524,E2,2.38E-16
MIX,3,DG,<0.05,DG(34:1)_C16:0,0.43327,3.0094,0.003,0.036,-1.8527,<0.05,12524,E2,-4.55E-17
MIX,3,DG,<0.05,DG(34:1)_C18:1,0.4041,2.9139,0.004,0.036,-2.1022,<0.05,12524,E2,1.03E-17
MIX,3,DG,<0.05,DG(34:2)_C16:0,0.43777,2.8571,0.005,0.036,-2.2473,<0.05,12524,E2,2.11E-17
MIX,3,DG,<0.1,DG(34:2)_C16:1,0.47859,2.3651,0.019,0.067,-3.3969,<0.1,12524,E2,-1.28E-17
MIX,3,DG,<0.05,DG(34:2)_C18:2,0.46123,2.8328,0.005,0.036,-2.3085,<0.05,12524,E2,3.46E-17
MIX,3,DG,<0.05,DG(34:3)_C16:1,0.41063,2.5726,0.011,0.046,-2.9357,<0.05,12524,E2,3.04E-18
